tabela,coluna,tipo_dado,aceita_nulo
client_origins,id,uuid,NO
client_origins,name,character varying,NO
client_origins,description,text,YES
client_origins,is_active,boolean,YES
client_origins,created_at,timestamp with time zone,YES
client_origins,updated_at,timestamp with time zone,YES
client_packages,id,uuid,NO
client_packages,client_id,uuid,NO
client_packages,service_id,uuid,NO
client_packages,sale_id,uuid,NO
client_packages,initial_quantity,integer,NO
client_packages,consumed_quantity,integer,NO
client_packages,available_quantity,integer,NO
client_packages,unit_price,numeric,NO
client_packages,total_paid,numeric,NO
client_packages,expires_at,date,YES
client_packages,is_active,boolean,YES
client_packages,created_at,timestamp with time zone,YES
client_packages,updated_at,timestamp with time zone,YES
clients,id,uuid,NO
clients,name,character varying,NO
clients,phone,character varying,YES
clients,birth_date,date,YES
clients,email,character varying,YES
clients,cpf_cnpj,character varying,YES
clients,origin_id,uuid,YES
clients,is_active,boolean,YES
clients,created_at,timestamp with time zone,YES
clients,updated_at,timestamp with time zone,YES
clients,created_by_user_id,uuid,YES
clients,account_link,text,YES
clients,client_type,character varying,NO
clients,responsible_name,character varying,YES
clients,reference_contact,character varying,YES
commission_policies,id,uuid,NO
commission_policies,name,character varying,NO
commission_policies,description,text,YES
commission_policies,type,character varying,NO
commission_policies,value,numeric,NO
commission_policies,scope,character varying,NO
commission_policies,product_id,uuid,YES
commission_policies,user_id,uuid,YES
commission_policies,applies_to,character varying,NO
commission_policies,consider_business_days,boolean,YES
commission_policies,valid_from,date,NO
commission_policies,valid_until,date,YES
commission_policies,is_active,boolean,YES
commission_policies,created_at,timestamp with time zone,YES
commission_policies,updated_at,timestamp with time zone,YES
commission_policies,created_by_user_id,uuid,YES
commission_policies,sale_type,character varying,NO
commissions,id,uuid,NO
commissions,sale_id,uuid,NO
commissions,sale_item_id,uuid,YES
commissions,user_id,uuid,NO
commissions,base_amount,numeric,NO
commissions,commission_type,character varying,NO
commissions,commission_rate,numeric,NO
commissions,commission_amount,numeric,NO
commissions,status,character varying,NO
commissions,reference_date,date,NO
commissions,payment_date,date,YES
commissions,considers_business_days,boolean,YES
commissions,created_at,timestamp without time zone,YES
commissions,updated_at,timestamp without time zone,YES
holidays,id,uuid,NO
holidays,date,date,NO
holidays,name,character varying,NO
holidays,is_national,boolean,YES
holidays,is_active,boolean,YES
holidays,created_at,timestamp with time zone,YES
holidays,updated_at,timestamp with time zone,YES
mercado_livre_credentials,id,uuid,NO
mercado_livre_credentials,user_id,uuid,NO
